case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_001,1,2,233110,118087,1.9741,42624,v39_slack_mult4-slack0.35,0,181.2,600
case_001,1,3,233110,79845,2.9195,46080,v39_slack_mult4-slack0.35,0,181.2,600
case_001,1,4,233110,61847,3.7691,12672,v39_slack_mult4-slack0.4,0,181.2,600
case_001,1,5,233110,49915,4.6701,89856,v39_slack_mult4-slack0.35,0,181.2,600
case_001,2,2,233110,116868,1.9946,1152,v32_bandcomp_w4,0,181.2,600
case_001,2,3,233110,78545,2.9679,2304,v32_bandcomp_w4,0,181.2,600
case_001,2,4,233110,58984,3.9521,3456,v32_bandcomp_w4,0,181.2,600
case_001,2,5,233110,47502,4.9074,4608,v32_bandcomp_w4,0,181.2,600
case_001,3,2,233110,116868,1.9946,1152,v32_bandcomp_w4,0.0,181.2,600
case_001,3,3,233110,78545,2.9679,2304,v32_bandcomp_w4,0.0,181.2,600
case_001,3,4,233110,58984,3.9521,3456,v32_bandcomp_w4,0.0,181.2,600
case_001,3,5,233110,47502,4.9074,4608,v32_bandcomp_w4,0.0,181.2,600
case_002,1,2,261945,133697,1.9592,27648,v32_bandcomp_w16,0,77.4,1798
case_002,1,3,261945,91440,2.8647,35328,v33_bandref_w14,0,77.4,1798
case_002,1,4,261945,77246,3.391,179712,v33_bandref_w10,0,77.4,1798
case_002,1,5,261945,63803,4.1055,179712,v33_bandref_w10,0,77.4,1798
case_002,2,2,261945,128716,2.0351,787968,v32_bandcomp_w6,0,77.4,1798
case_002,2,3,261945,86497,3.0284,1016832,v32_bandcomp_w6,0,77.4,1798
case_002,2,4,261945,66212,3.9562,1181184,v32_bandcomp_w6,0,77.4,1798
case_002,2,5,261945,54049,4.8464,1222656,v32_bandcomp_w6,0,77.4,1798
case_002,3,2,261945,128716,2.0351,787968,v32_bandcomp_w6,0.17735220649458786,77.4,1798
case_002,3,3,261945,86497,3.0284,1016832,v32_bandcomp_w6,0.1819560272934041,77.4,1798
case_002,3,4,261945,66212,3.9562,1181184,v32_bandcomp_w6,0.23076923076923078,77.4,1798
case_002,3,5,261945,54049,4.8464,1222656,v32_bandcomp_w6,0.24,77.4,1798
case_003,1,2,602212,370910,1.6236,8736448,v32_bandcomp_w10,0,22.75,13455
case_003,1,3,602212,285099,2.1123,7576502,v33_bandref_w10,0,22.75,13455
case_003,1,4,602212,231201,2.6047,7576502,v33_bandref_w10,0,22.75,13455
case_003,1,5,602212,213624,2.819,7576502,v33_bandref_w10,0,22.75,13455
case_003,2,2,602212,304065,1.9805,2244310,v32_bandcomp_w10,0,22.75,13455
case_003,2,3,602212,210052,2.867,2574872,v32_bandcomp_w10,0,22.75,13455
case_003,2,4,602212,166816,3.61,4689442,v39_bseed_seed2-window10,0,22.75,13455
case_003,2,5,602212,150718,3.9956,5362144,v39_bseed_seed2-window10,0,22.75,13455
case_003,3,2,602212,303801,1.9823,2244310,v32_bandcomp_w10,0.16562281434018455,22.75,13455
case_003,3,3,602212,209986,2.8679,2574872,v32_bandcomp_w10,0.3322750313046524,22.75,13455
case_003,3,4,602212,164831,3.6535,4641626,v39_bseed_seed3-window10,0.3607130743858631,22.75,13455
case_003,3,5,602212,143427,4.1987,5475108,v39_bseed_seed3-window10,0.37407199749010717,22.75,13455
case_004,1,2,392357,203989,1.9234,466944,v31_grow_mv_m3,0,135.12,777
case_004,1,3,392357,142067,2.7618,718848,v31_grow_mv_m3,0,135.12,777
case_004,1,4,392357,115119,3.4083,924672,v31_grow_mv_m3,0,135.12,777
case_004,1,5,392357,107395,3.6534,1815552,v31_grow_m4_t10,0,135.12,777
case_004,2,2,392357,196032,2.0015,986112,v32_bandcomp_w4,0,135.12,777
case_004,2,3,392357,131412,2.9857,847872,v32_bandcomp_w4,0,135.12,777
case_004,2,4,392357,101428,3.8683,718848,v32_bandcomp_w4,0,135.12,777
case_004,2,5,392357,85091,4.611,599040,v32_bandcomp_w4,0,135.12,777
case_004,3,2,392357,196032,2.0015,986112,v32_bandcomp_w4,0.03987730061349693,135.12,777
case_004,3,3,392357,131412,2.9857,847872,v32_bandcomp_w4,0.0,135.12,777
case_004,3,4,392357,101428,3.8683,718848,v32_bandcomp_w4,0.006269592476489028,135.12,777
case_004,3,5,392357,85091,4.611,599040,v32_bandcomp_w4,0.021875,135.12,777
case_005,1,2,95618,71978,1.3284,1475416,v35_bandref_w16,0,12.61,4113
case_005,1,3,95618,61202,1.5623,1765502,v33_bandref_w14,0,12.61,4113
case_005,1,4,95618,58265,1.6411,1765502,v36_cross_p1_from_p2,0,12.61,4113
case_005,1,5,95618,56931,1.6795,1765502,v36_cross_p1_from_p2,0,12.61,4113
case_005,2,2,95618,58804,1.626,825574,v35_bandref_w6,0,12.61,4113
case_005,2,3,95618,51009,1.8745,995340,v36_cross_p2_from_p1,0,12.61,4113
case_005,2,4,95618,49369,1.9368,1214802,v39_bseed_seed2-window14,0,12.61,4113
case_005,2,5,95618,47668,2.0059,1332372,v39_bseed_seed1-window14,0,12.61,4113
case_005,3,2,95618,58804,1.626,825574,v35_bandref_w6,0.15148490835864187,12.61,4113
case_005,3,3,95618,50934,1.8773,995340,v36_cross_p3_from_p1,0.2589865517979591,12.61,4113
case_005,3,4,95618,48388,1.9761,1278960,v36_cross_p3_from_p1,0.28502027764918686,12.61,4113
case_005,3,5,95618,46765,2.0446,1359348,v39_bseed_seed4-window14,0.26951146560319045,12.61,4113
case_006,1,2,82837,46329,1.788,91292,v32_bandcomp_w16,0,17.46,678
case_006,1,3,82837,32154,2.5763,91292,v32_bandcomp_w16,0,17.46,678
case_006,1,4,82837,31034,2.6692,805168,v36_cross_p1_from_p2,0,17.46,678
case_006,1,5,82837,28795,2.8768,805168,v35_bandref_w6,0,17.46,678
case_006,2,2,82837,39344,2.1055,134532,v39_btol_tol0.2-window14,0,17.46,678
case_006,2,3,82837,28358,2.9211,542088,v35_bandref_w6,0,17.46,678
case_006,2,4,82837,22652,3.6569,414944,v35_bandref_w6,0,17.46,678
case_006,2,5,82837,20772,3.9879,442716,v36_cross_p2_from_p1,0,17.46,678
case_006,3,2,82837,39344,2.1055,134532,v39_btol_tol0.2-window14,0.005644679203865037,17.46,678
case_006,3,3,82837,27584,3.0031,542088,v35_bandref_w6,0.3434152667733895,17.46,678
case_006,3,4,82837,22260,3.7213,414944,v35_bandref_w6,0.20081502018942707,17.46,678
case_006,3,5,82837,19816,4.1803,466532,v35_bandref_w6,0.18088260141621737,17.46,678
case_007,1,2,1012562,520910,1.9438,211968,v31_grow_m4_t10,0,661.57,3885
case_007,1,3,1012562,355682,2.8468,317952,v31_grow_m4_t10,0,661.57,3885
case_007,1,4,1012562,272618,3.7142,423936,v31_grow_m4_t10,0,661.57,3885
case_007,1,5,1012562,223182,4.5369,520704,v31_grow_m4_t10,0,661.57,3885
case_007,2,2,1012562,490534,2.0642,2935296,v32_bandcomp_w4,0,661.57,3885
case_007,2,3,1012562,326994,3.0966,2709504,v32_bandcomp_w4,0,661.57,3885
case_007,2,4,1012562,246058,4.1151,2488320,v32_bandcomp_w4,0,661.57,3885
case_007,2,5,1012562,197052,5.1386,2260992,v32_bandcomp_w4,0,661.57,3885
case_007,3,2,1012562,490534,2.0642,2935296,v32_bandcomp_w4,0.004551365409622887,661.57,3885
case_007,3,3,1012562,326994,3.0966,2709504,v32_bandcomp_w4,0.0,661.57,3885
case_007,3,4,1012562,246058,4.1151,2488320,v32_bandcomp_w4,0.014174344436569808,661.57,3885
case_007,3,5,1012562,197052,5.1386,2260992,v32_bandcomp_w4,0.0,661.57,3885
